timestamp,signal_jaw,signal_brow
84500,347,509
84516,348,506
84532,349,511
84547,345,514
84562,346,512
84578,347,508
84594,356,509
84610,357,512
84625,348,509
84640,350,510
84657,352,505
84672,349,510
84687,352,512
84703,350,509
84719,348,507
84734,350,510
84750,343,509
84765,349,513
84782,350,509
84797,349,507
84812,346,508
84828,347,513
84843,351,509
84859,348,510
84875,345,509
84890,358,513
84905,357,514
84922,371,514
84937,301,510
84953,333,514
84968,378,512
84984,407,506
85000,284,517
85015,368,512
85030,309,518
85046,303,522
85062,315,506
85078,292,522
85093,327,517
85108,316,522
85125,330,526
85140,304,519
85155,321,518
85171,314,523
85187,321,522
85202,325,524
85218,325,517
85233,323,516
85250,323,519
85265,333,519
85280,344,514
85296,333,516
85311,333,518
85327,334,521
85343,339,519
85358,340,514
85373,344,516
85390,324,520
85405,340,518
85421,347,517
85436,343,514
85452,341,518
85468,343,520
85483,344,517
85498,349,515
85515,343,518
85530,339,524
85545,338,522
85561,339,520
85576,333,515
85593,337,519
85608,342,522
85623,333,521
85639,337,516
85655,333,516
85670,334,517
85686,335,520
85701,335,515
85718,333,516
85733,337,515
85748,336,519
85764,336,518
85780,335,512
85795,335,512
85811,338,515
85826,333,515
85841,335,512
85858,333,514
85873,330,519
85889,335,525
85904,331,524
85920,333,515
85936,331,516
85951,343,520
85966,330,521
85983,328,518
85998,326,510
86013,328,517
86029,334,518
86044,329,518
86061,335,515
86076,336,510
86091,335,515
86107,327,510
86123,331,507
86138,335,500
86154,334,503
86169,331,508
86185,329,505
86201,331,502
86216,331,504
86232,329,507
86248,351,502
86263,344,508
86279,376,481
86294,378,518
86309,299,503
86326,275,505
86341,318,523
86356,356,508
86372,278,517
86388,334,510
86404,291,509
86419,333,513
86434,332,505
86451,297,509
86466,329,520
86481,327,511
86497,304,500
86513,308,520
86529,332,515
86544,304,503
86559,283,522
86575,310,515
86591,324,509
86606,308,516
86622,319,512
86637,318,510
86653,316,509
86669,318,513
86684,325,509
86700,318,507
86716,329,508
86731,312,509
86747,336,512
86762,334,507
86778,340,503
86794,334,506
86809,349,513
86824,342,507
86840,352,506
86856,344,506
86872,346,513
86887,335,510
86902,342,507
86919,334,508
86934,337,507
86949,341,512
86965,347,511
86981,351,505
86996,351,506
87012,360,508
87027,356,512
87043,351,510
87059,352,505
87074,358,507
87090,357,514
87105,355,510
87121,357,507
87137,353,507
87152,358,509
87168,353,512
87184,358,508
87199,356,506
87215,358,507
87230,350,503
87246,365,505
87262,355,501
87277,358,499
87292,365,501
87308,367,508
87324,350,509
87340,347,501
87355,359,504
87370,368,511
87387,350,509
87402,359,508
87417,351,504
87433,352,513
87449,353,515
87464,348,512
87480,343,510
87495,343,511
87512,353,514
87527,339,518
87542,348,513
87558,338,511
87573,330,515
87589,335,519
87605,343,513
87620,325,508
87635,335,519
87652,404,507
87667,362,527
87683,390,511
87698,288,511
87714,290,525
87730,361,515
87745,344,529
87760,334,512
87777,348,521
87792,352,515
87808,368,529
87823,308,532
87838,286,525
87855,370,504
87870,275,528
87885,342,518
87901,300,519
87917,315,517
87932,318,519
